ind,pop,super_pop,gender,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HG00096,GBR,EUR,male,-0.0115231,0.024732,0.0128215,-0.0139516,-0.00429745,-0.0043212,-0.00665411,-0.0121932,0.013012,0.0243453
HG00097,GBR,EUR,female,-0.00965452,0.0269697,0.0128279,-0.0169751,0.0116283,0.0124597,0.00208919,-0.0339512,-0.0237225,-0.0360375
HG00099,GBR,EUR,female,-0.0116671,0.0277051,0.0134467,-0.0161841,-0.00312957,0.0156404,-0.0151491,-0.0247982,0.0319185,0.013816
HG00100,GBR,EUR,female,-0.0106912,0.0268924,0.0134426,-0.0130975,0.00408643,-0.00501182,0.0160509,0.00943811,-0.0262778,-0.00467472
HG00101,GBR,EUR,male,-0.0118163,0.0274741,0.0152515,-0.0131001,0.0143459,0.00551897,0.00286603,-0.0299764,0.00215606,0.035838
HG00102,GBR,EUR,female,-0.0105771,0.0268982,0.0153361,-0.0192287,-0.0121192,0.0194722,0.00464717,-0.00695258,-8.50799e-5,0.01548
HG00103,GBR,EUR,male,-0.0119364,0.0256916,0.0117283,-0.0134308,-0.0103359,0.00895178,-0.00801719,-0.0207723,0.0291934,0.0252088
HG00105,GBR,EUR,male,-0.0105755,0.0275884,0.0116322,-0.0206273,-0.00201436,0.0264819,-0.0158286,-0.0212422,0.0234021,0.00944482
HG00106,GBR,EUR,female,-0.0130219,0.02606,0.0144938,-0.0148248,0.008099,0.0146937,0.00166359,-0.0364157,-9.32132e-4,0.00513929
HG00107,GBR,EUR,male,-0.0100602,0.0260727,0.015231,-0.0142982,-0.00304798,0.0134078,0.00218518,-0.0280655,0.00565526,-0.0275723
HG00108,GBR,EUR,male,-0.0111117,0.0252714,0.015372,-0.0183272,-0.00163639,-0.0221287,-0.00670977,-0.00289791,0.0469855,0.00837961
HG00109,GBR,EUR,male,-0.0115943,0.0261476,0.0149057,-0.0205108,0.0101238,-0.00658598,-5.49667e-4,-0.0127818,0.0252274,-0.0239477
HG00110,GBR,EUR,female,-0.0107273,0.0267576,0.0092487,-0.0154886,0.00451992,-0.0270516,0.0117534,-0.0188444,0.00554768,-0.00634797
HG00111,GBR,EUR,female,-0.0110501,0.0269732,0.0123655,-0.0152762,-0.00201232,-0.0182386,0.00820629,0.011691,0.019828,-0.0218412
HG00112,GBR,EUR,male,-0.0103767,0.0276816,0.00518894,-0.0166422,0.00123383,0.00314122,-0.00547481,-0.0261024,-0.0287055,-0.0281717
HG00113,GBR,EUR,male,-0.0112646,0.0261021,0.0154728,-0.0223974,-0.00280376,-0.0203149,0.0102201,-0.0145297,0.0348841,0.0108933
HG00114,GBR,EUR,male,-0.0116531,0.0270619,0.0127989,-0.020026,-0.00720909,0.0100256,-0.001126,-0.0287153,0.0375883,0.00126846
HG00115,GBR,EUR,male,-0.0107847,0.0269387,0.0117752,-0.019494,0.00156514,0.0186795,-0.00217564,-0.00892867,0.00613099,0.0168189
HG00116,GBR,EUR,male,-0.0112982,0.0260025,0.0177424,-0.0195137,-0.00609652,-0.0309991,0.00280503,0.0183426,0.0248494,0.045358
HG00117,GBR,EUR,male,-0.0112566,0.026396,0.0145418,-0.0188988,-0.0145607,-0.0106982,0.00325481,0.0322436,0.00735383,-0.0158474
HG00118,GBR,EUR,female,-0.0102479,0.0264811,0.0145972,-0.0153892,-0.00678939,0.0172563,-1.68787e-5,-0.0274904,0.0135105,-0.0210623
HG00119,GBR,EUR,male,-0.00988762,0.0259134,0.0148708,-0.0213838,-0.00705401,-0.0307896,0.0222697,0.0198919,-0.0254982,0.0420043
HG00120,GBR,EUR,female,-0.0107157,0.0256924,0.0144925,-0.0181428,-0.0091081,-0.0243256,0.0154794,0.0105427,-0.0159875,0.00905928
HG00121,GBR,EUR,female,-0.0124073,0.0253429,0.0115005,-0.0182666,0.00379107,-0.0209042,0.00194206,-0.00287467,0.0404535,-0.01276
