ind,project,pop,super_pop,gender,related,related_exclude,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
HG00096,1000 Genomes,GBR,EUR,male,false,false,-0.12578,-0.24774,-0.019454,0.084224,-0.011884,-0.0012548,-0.060939,-0.018647,-0.0017283,0.0063747,-0.0036866,0.0073253,-0.0010103,0.0090797,-0.0086376,-0.012316,0.00942,-0.012093,-0.0017596,0.0026827
HG00097,1000 Genomes,GBR,EUR,female,false,false,-0.126,-0.24707,-0.017057,0.086622,-0.010138,0.005294,-0.059246,-0.017177,-0.0032765,-0.003018,0.0028564,0.006609,-9.9648E-4,0.0073524,-0.0056382,-0.004713,0.0024573,-0.0048611,-0.007825,0.0055703
HG00099,1000 Genomes,GBR,EUR,female,false,false,-0.12443,-0.24729,-0.022543,0.081816,-0.0082434,0.0018152,-0.062343,-0.01951,-0.0023126,-0.0025261,-7.279E-4,0.0043904,0.0012682,0.0055801,-0.0045505,-0.01528,0.007976,-0.0043613,-0.004687,9.2238E-4
HG00100,1000 Genomes,GBR,EUR,female,false,false,-0.12178,-0.24901,-0.019759,0.085827,-0.01133,4.2749E-4,-0.052337,-0.01823,-0.004743,0.0042765,-0.0011082,0.01471,-0.0018619,0.0064322,-0.0049782,-0.012713,-0.0010538,-0.0053633,0.0013844,0.0023329
HG00101,1000 Genomes,GBR,EUR,male,false,false,-0.12408,-0.24418,-0.02025,0.088697,-0.0073478,4.9573E-5,-0.060425,-0.020177,0.0014153,-0.0012522,-5.715E-4,0.012814,-8.6756E-4,0.0025863,-0.005719,-0.0076936,0.002326,-0.0077984,7.7508E-4,0.0044859
HG00102,1000 Genomes,GBR,EUR,female,false,false,-0.12622,-0.24659,-0.019783,0.084926,-0.0080289,0.0014138,-0.071726,-0.021178,-3.2538E-4,-0.0043895,0.0014163,0.01516,-0.0060988,0.0057377,-0.0055117,-0.010986,0.0051039,-0.010458,0.0040134,0.006836
HG00103,1000 Genomes,GBR,EUR,male,false,false,-0.12456,-0.24875,-0.019222,0.089334,-0.0092894,0.0046016,-0.058519,-0.020986,-0.0024455,-0.0048837,-3.6684E-4,0.015629,-0.002177,0.0053465,-0.0015532,-0.009417,0.0023942,-0.0086164,0.0045475,0.0020112
HG00105,1000 Genomes,GBR,EUR,male,false,false,-0.12306,-0.24502,-0.021321,0.086482,-0.0043761,-5.1011E-4,-0.061377,-0.020438,-0.0015031,-9.9716E-4,-0.0013045,0.013829,-0.0015674,0.0067977,0.0015989,-0.0074531,0.001911,-0.0074594,-0.0039888,0.0057828
HG00106,1000 Genomes,GBR,EUR,female,false,false,-0.12571,-0.24537,-0.019958,0.079867,-0.0054071,0.003068,-0.05458,-0.0216,0.001522,-0.0042037,-0.0063972,0.0057661,0.0026362,0.0053953,-5.0163E-4,-0.0041324,0.0071984,-0.016474,0.0049283,0.0022846
HG00107,1000 Genomes,GBR,EUR,male,false,false,-0.12501,-0.24417,-0.022984,0.085471,-0.0094905,0.0030305,-0.059051,-0.021308,-6.4489E-4,-0.0045556,-0.0031844,0.0057609,-1.279E-4,0.0070749,-0.0039921,-0.011052,0.0027107,-0.0049156,-8.9379E-4,3.2908E-4
HG00108,1000 Genomes,GBR,EUR,male,false,false,-0.12337,-0.24491,-0.022084,0.086415,-0.0063837,0.0021084,-0.065737,-0.023698,3.5588E-4,-0.0053003,0.0011464,0.0059143,-0.0044726,0.014302,-0.0033174,-0.012106,-0.0011162,-0.012007,-0.0057044,0.0037706
HG00109,1000 Genomes,GBR,EUR,male,false,false,-0.12437,-0.24477,-0.017591,0.090989,-0.0061452,9.9632E-5,-0.052144,-0.019957,-0.0013739,0.0068284,0.0017879,0.011977,-0.0028712,0.010599,-0.0014407,-0.011501,0.0057585,-0.0094855,-0.0033895,0.0055271
HG00110,1000 Genomes,GBR,EUR,female,false,false,-0.12679,-0.24705,-0.018195,0.087663,-0.007444,0.003877,-0.063641,-0.020061,-3.8865E-4,0.006465,0.0038599,7.6399E-4,0.0019276,0.0066485,-0.0047303,-0.0022491,0.0044797,-0.0025224,-0.0041747,0.003359
HG00111,1000 Genomes,GBR,EUR,female,false,false,-0.12338,-0.24552,-0.018267,0.082887,-0.0084489,-1.4441E-4,-0.068142,-0.022421,0.0017841,-0.0015267,-0.0019405,0.0089487,-0.0036385,0.0052669,-0.0053099,-0.014512,0.0065993,-0.0043482,-0.0020946,0.0094104
HG00112,1000 Genomes,GBR,EUR,male,false,false,-0.12723,-0.24312,-0.01699,0.084059,-0.008435,0.0048708,-0.06004,-0.019813,-0.003397,-0.0068579,-1.44E-4,0.014958,-0.0047228,9.516E-4,-0.0023227,-0.015261,0.0037549,-0.0052332,-8.6563E-4,0.0016897
HG00113,1000 Genomes,GBR,EUR,male,false,false,-0.12456,-0.24709,-0.017432,0.088298,-0.0084112,-0.0020869,-0.060629,-0.020184,-0.0053074,8.7653E-4,-0.0022489,0.0074764,-9.5334E-4,0.0092009,9.3106E-5,-0.0037109,0.0045375,-0.0090495,-0.0016357,0.0033759
