FID,IID,POP,SEX,AGE,EXP,related,related_exclude,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,train,y,ybin
0,LP6005441-DNA_F08,EAS,0,52.0,1.0282978796116304,false,false,-0.19223,0.26719,0.00022455,0.055953,0.014291,0.0038683,-0.024416,0.085379,0.0018382,-0.0059266,true,10.460838596796757,0
0,LP6005441-DNA_F08,EAS,0,53.0,-0.125867430549926,false,false,-0.19223,0.26719,0.00022455,0.055953,0.014291,0.0038683,-0.024416,0.085379,0.0018382,-0.0059266,true,12.11461726934234,1
0,LP6005441-DNA_F08,EAS,0,54.0,0.8739314652696846,false,false,-0.19223,0.26719,0.00022455,0.055953,0.014291,0.0038683,-0.024416,0.085379,0.0018382,-0.0059266,true,12.629240353101194,1
0,LP6005441-DNA_F08,EAS,0,55.0,-0.6694236312977776,false,false,-0.19223,0.26719,0.00022455,0.055953,0.014291,0.0038683,-0.024416,0.085379,0.0018382,-0.0059266,true,12.974212739657737,1
0,LP6005441-DNA_F08,EAS,0,56.0,1.1874066095980538,false,false,-0.19223,0.26719,0.00022455,0.055953,0.014291,0.0038683,-0.024416,0.085379,0.0018382,-0.0059266,true,11.183454719847829,0
0,HGDP00843,AMR,1,40.0,-1.1936497064093745,false,false,-0.19626,0.14997,-0.47846,-0.25165,-0.0068698,0.009211,0.022367,-0.017692,0.0056648,-0.026384,true,8.8607204940733,0
0,HGDP00843,AMR,1,41.0,-1.8257422157238699,false,false,-0.19626,0.14997,-0.47846,-0.25165,-0.0068698,0.009211,0.022367,-0.017692,0.0056648,-0.026384,true,9.75694707502979,0
0,HGDP00843,AMR,1,42.0,-0.49648754179475596,false,false,-0.19626,0.14997,-0.47846,-0.25165,-0.0068698,0.009211,0.022367,-0.017692,0.0056648,-0.026384,true,10.942165947686407,0
0,HGDP00843,AMR,1,43.0,-1.4976846735619234,false,false,-0.19626,0.14997,-0.47846,-0.25165,-0.0068698,0.009211,0.022367,-0.017692,0.0056648,-0.026384,true,9.775571652375117,0
0,HGDP00843,AMR,1,44.0,-0.19515214026665273,false,false,-0.19626,0.14997,-0.47846,-0.25165,-0.0068698,0.009211,0.022367,-0.017692,0.0056648,-0.026384,true,9.190479099528506,0
0,HGDP00392,CSA,1,50.0,-1.1462803431699042,false,false,-0.13202,-0.087605,0.072361,-0.080545,0.020418,0.004363,-0.0024209,0.014165,-0.0079959,-0.057887,true,-5.761204112685519,0
0,HGDP00392,CSA,1,51.0,-0.4894739057916889,false,false,-0.13202,-0.087605,0.072361,-0.080545,0.020418,0.004363,-0.0024209,0.014165,-0.0079959,-0.057887,true,-6.248390408887537,0
0,HGDP00392,CSA,1,52.0,1.1683542010209622,false,false,-0.13202,-0.087605,0.072361,-0.080545,0.020418,0.004363,-0.0024209,0.014165,-0.0079959,-0.057887,true,-3.9594173168306135,0
0,HGDP00392,CSA,1,53.0,1.0485191932464106,false,false,-0.13202,-0.087605,0.072361,-0.080545,0.020418,0.004363,-0.0024209,0.014165,-0.0079959,-0.057887,true,-4.668143543273736,0
0,HGDP00392,CSA,1,54.0,-1.3279285262651437,false,false,-0.13202,-0.087605,0.072361,-0.080545,0.020418,0.004363,-0.0024209,0.014165,-0.0079959,-0.057887,true,-5.6728259702736015,0
0,LP6005441-DNA_H03,EAS,0,47.0,-1.3950956780530308,false,false,-0.17527,0.24264,0.065801,0.031979,-0.0059475,2.1302e-5,0.030535,-0.12076,-0.00026829,-0.0048803,true,2.343532929145792,0
0,LP6005441-DNA_H03,EAS,0,48.0,-1.348467062894091,false,false,-0.17527,0.24264,0.065801,0.031979,-0.0059475,2.1302e-5,0.030535,-0.12076,-0.00026829,-0.0048803,true,1.573014149277884,0
0,LP6005441-DNA_H03,EAS,0,49.0,0.671915570156843,false,false,-0.17527,0.24264,0.065801,0.031979,-0.0059475,2.1302e-5,0.030535,-0.12076,-0.00026829,-0.0048803,true,2.447338461136226,0
0,LP6005441-DNA_H03,EAS,0,50.0,-0.05680585070209461,false,false,-0.17527,0.24264,0.065801,0.031979,-0.0059475,2.1302e-5,0.030535,-0.12076,-0.00026829,-0.0048803,true,1.6123925441992368,0
0,LP6005441-DNA_H03,EAS,0,51.0,1.8003722723868636,false,false,-0.17527,0.24264,0.065801,0.031979,-0.0059475,2.1302e-5,0.030535,-0.12076,-0.00026829,-0.0048803,true,-0.7092246694629685,0
0,HGDP00544,OCE,0,53.0,-0.24507938989445707,false,false,-0.11483,0.15617,0.10894,-0.091162,-0.53112,-0.03432,0.0081121,0.0061501,-0.0036322,-0.018047,false,-7.331854827608872,0
0,HGDP00544,OCE,0,54.0,0.8562027756599268,false,false,-0.11483,0.15617,0.10894,-0.091162,-0.53112,-0.03432,0.0081121,0.0061501,-0.0036322,-0.018047,false,-7.77129320296674,0
0,HGDP00544,OCE,0,55.0,-0.376155455473785,false,false,-0.11483,0.15617,0.10894,-0.091162,-0.53112,-0.03432,0.0081121,0.0061501,-0.0036322,-0.018047,false,-7.84254934984152,0
0,HGDP00544,OCE,0,56.0,0.3393239891372707,false,false,-0.11483,0.15617,0.10894,-0.091162,-0.53112,-0.03432,0.0081121,0.0061501,-0.0036322,-0.018047,false,-8.512770633667825,0
0,HGDP00544,OCE,0,57.0,-0.9773787169770638,false,false,-0.11483,0.15617,0.10894,-0.091162,-0.53112,-0.03432,0.0081121,0.0061501,-0.0036322,-0.018047,false,-7.21181028246317,0
0,HGDP01053,AMR,0,48.0,-0.022707548603989835,true,true,-0.20002,0.15282,-0.41393,-0.21328,-0.0004491,0.00013639,-0.00034149,0.00031883,-0.0012604,-0.017706,true,19.39114146498239,1
0,HGDP01053,AMR,0,49.0,1.0169201589456862,true,true,-0.20002,0.15282,-0.41393,-0.21328,-0.0004491,0.00013639,-0.00034149,0.00031883,-0.0012604,-0.017706,true,20.364473903947175,1
0,HGDP01053,AMR,0,50.0,1.240479600326231,true,true,-0.20002,0.15282,-0.41393,-0.21328,-0.0004491,0.00013639,-0.00034149,0.00031883,-0.0012604,-0.017706,true,20.77121342817018,1
0,HGDP01053,AMR,0,51.0,-0.10420000733889757,true,true,-0.20002,0.15282,-0.41393,-0.21328,-0.0004491,0.00013639,-0.00034149,0.00031883,-0.0012604,-0.017706,true,21.067904084660185,1
0,HGDP01053,AMR,0,52.0,1.4165245965844036,true,true,-0.20002,0.15282,-0.41393,-0.21328,-0.0004491,0.00013639,-0.00034149,0.00031883,-0.0012604,-0.017706,true,23.09149259431814,1
0,HGDP00191,CSA,1,55.0,-1.0035254782441194,false,false,-0.12133,-0.12478,0.083576,-0.09231,0.029636,-0.00024611,0.0040042,0.0073159,-0.0049195,-0.05214,true,-29.956682787945883,0
0,HGDP00191,CSA,1,56.0,-1.2327026387803852,false,false,-0.12133,-0.12478,0.083576,-0.09231,0.029636,-0.00024611,0.0040042,0.0073159,-0.0049195,-0.05214,true,-29.53039486790685,0
0,HGDP00191,CSA,1,57.0,-1.2438902853027736,false,false,-0.12133,-0.12478,0.083576,-0.09231,0.029636,-0.00024611,0.0040042,0.0073159,-0.0049195,-0.05214,true,-28.986837834637768,0
0,HGDP00191,CSA,1,58.0,0.15279678566884627,false,false,-0.12133,-0.12478,0.083576,-0.09231,0.029636,-0.00024611,0.0040042,0.0073159,-0.0049195,-0.05214,true,-32.43373600309794,0
0,HGDP00191,CSA,1,59.0,-0.39034001545773983,false,false,-0.12133,-0.12478,0.083576,-0.09231,0.029636,-0.00024611,0.0040042,0.0073159,-0.0049195,-0.05214,true,-31.910296002708375,0
0,HGDP01399,EUR,0,50.0,-0.537063091909539,false,false,-0.11489,-0.21051,0.024007,0.030795,0.0091235,0.0044074,0.04107,0.021984,-0.0068929,-0.066248,false,-8.5655699811913,0
0,HGDP01399,EUR,0,51.0,-0.6037026527101536,false,false,-0.11489,-0.21051,0.024007,0.030795,0.0091235,0.0044074,0.04107,0.021984,-0.0068929,-0.066248,false,-11.375550465896522,0
0,HGDP01399,EUR,0,52.0,-1.5694683307684667,false,false,-0.11489,-0.21051,0.024007,0.030795,0.0091235,0.0044074,0.04107,0.021984,-0.0068929,-0.066248,false,-11.726854398203487,0
0,HGDP01399,EUR,0,53.0,-0.7733919654452054,false,false,-0.11489,-0.21051,0.024007,0.030795,0.0091235,0.0044074,0.04107,0.021984,-0.0068929,-0.066248,false,-11.693948736865657,0
0,HGDP01399,EUR,0,54.0,0.935906736816109,false,false,-0.11489,-0.21051,0.024007,0.030795,0.0091235,0.0044074,0.04107,0.021984,-0.0068929,-0.066248,false,-13.105669113371905,0
0,LP6005441-DNA_C05,EAS,1,51.0,-0.39144233895825514,false,false,-0.2025,0.31685,0.03486,0.081263,0.0087843,0.0023153,0.018434,-0.065194,-0.0011014,-0.010941,true,-8.405309011914081,0
0,LP6005441-DNA_C05,EAS,1,52.0,1.5163137404793394,false,false,-0.2025,0.31685,0.03486,0.081263,0.0087843,0.0023153,0.018434,-0.065194,-0.0011014,-0.010941,true,-10.658324102012653,0
