FID,IID,POP,SEX,AGE,TIME,EXP,related,related_exclude,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,train,y,ybin
0,LP6005441-DNA_F08,EAS,0,45.0,-1.3905296558457407,1.5899452163119452,false,false,-0.19223,0.26719,0.00022455,0.055953,0.014291,0.0038683,-0.024416,0.085379,0.0018382,-0.0059266,true,3.7018891178583178,0
0,LP6005441-DNA_F08,EAS,0,46.0,-1.1905296558457408,-1.5173891092794887,false,false,-0.19223,0.26719,0.00022455,0.055953,0.014291,0.0038683,-0.024416,0.085379,0.0018382,-0.0059266,true,1.3249390318715866,0
0,LP6005441-DNA_F08,EAS,0,47.0,-0.9905296558457408,0.681302525560748,false,false,-0.19223,0.26719,0.00022455,0.055953,0.014291,0.0038683,-0.024416,0.085379,0.0018382,-0.0059266,true,2.304367300903407,0
0,LP6005441-DNA_F08,EAS,0,48.0,-0.7905296558457409,2.2726241180558993,false,false,-0.19223,0.26719,0.00022455,0.055953,0.014291,0.0038683,-0.024416,0.085379,0.0018382,-0.0059266,true,2.8785526893168276,0
0,LP6005441-DNA_F08,EAS,0,49.0,-0.5905296558457408,0.7276635421112824,false,false,-0.19223,0.26719,0.00022455,0.055953,0.014291,0.0038683,-0.024416,0.085379,0.0018382,-0.0059266,true,2.440939729455485,0
0,HGDP00843,AMR,1,51.0,-0.19052965584574083,-0.4744129816957478,false,false,-0.19626,0.14997,-0.47846,-0.25165,-0.0068698,0.009211,0.022367,-0.017692,0.0056648,-0.026384,true,1.8128965428491814,0
0,HGDP00843,AMR,1,53.0,0.2094703441542592,-1.9151104618960977,false,false,-0.19626,0.14997,-0.47846,-0.25165,-0.0068698,0.009211,0.022367,-0.017692,0.0056648,-0.026384,true,-0.12656220041299493,0
0,HGDP00392,CSA,1,58.0,1.2094703441542591,-0.10205592472119135,false,false,-0.13202,-0.087605,0.072361,-0.080545,0.020418,0.004363,-0.0024209,0.014165,-0.0079959,-0.057887,true,5.311228658982498,1
0,LP6005441-DNA_H03,EAS,0,48.0,-0.7905296558457409,-0.11264617270049265,false,false,-0.17527,0.24264,0.065801,0.031979,-0.0059475,2.1302e-5,0.030535,-0.12076,-0.00026829,-0.0048803,true,3.122384056806947,0
0,LP6005441-DNA_H03,EAS,0,49.0,-0.5905296558457408,-0.8245910515989058,false,false,-0.17527,0.24264,0.065801,0.031979,-0.0059475,2.1302e-5,0.030535,-0.12076,-0.00026829,-0.0048803,true,4.979366301643991,0
0,HGDP00544,OCE,0,48.0,-0.7905296558457409,-0.6320269434305192,false,false,-0.11483,0.15617,0.10894,-0.091162,-0.53112,-0.03432,0.0081121,0.0061501,-0.0036322,-0.018047,true,1.6799147546852398,0
0,HGDP00544,OCE,0,49.0,-0.5905296558457408,0.04833714167398817,false,false,-0.11483,0.15617,0.10894,-0.091162,-0.53112,-0.03432,0.0081121,0.0061501,-0.0036322,-0.018047,true,1.635821574864718,0
0,HGDP00544,OCE,0,50.0,-0.39052965584574084,-0.24526208435864,false,false,-0.11483,0.15617,0.10894,-0.091162,-0.53112,-0.03432,0.0081121,0.0061501,-0.0036322,-0.018047,true,-0.34030336843623044,0
0,HGDP01053,AMR,0,55.0,0.6094703441542592,-0.6686696299524774,true,true,-0.20002,0.15282,-0.41393,-0.21328,-0.0004491,0.00013639,-0.00034149,0.00031883,-0.0012604,-0.017706,true,7.808620370203086,1
0,HGDP01053,AMR,0,56.0,0.8094703441542592,0.806919984720906,true,true,-0.20002,0.15282,-0.41393,-0.21328,-0.0004491,0.00013639,-0.00034149,0.00031883,-0.0012604,-0.017706,true,7.081562123167972,1
0,HGDP01053,AMR,0,57.0,1.0094703441542592,-1.3005238066540914,true,true,-0.20002,0.15282,-0.41393,-0.21328,-0.0004491,0.00013639,-0.00034149,0.00031883,-0.0012604,-0.017706,true,9.125174659681015,1
0,HGDP01053,AMR,0,58.0,1.2094703441542591,-0.4217437813011781,true,true,-0.20002,0.15282,-0.41393,-0.21328,-0.0004491,0.00013639,-0.00034149,0.00031883,-0.0012604,-0.017706,true,9.938151504399208,1
0,HGDP01053,AMR,0,59.0,1.409470344154259,0.48759915144008587,true,true,-0.20002,0.15282,-0.41393,-0.21328,-0.0004491,0.00013639,-0.00034149,0.00031883,-0.0012604,-0.017706,true,11.70446500585772,1
0,HGDP00191,CSA,1,56.0,0.8094703441542592,-0.6307460658805886,false,false,-0.12133,-0.12478,0.083576,-0.09231,0.029636,-0.00024611,0.0040042,0.0073159,-0.0049195,-0.05214,true,1.1666579138383812,0
0,HGDP00191,CSA,1,58.0,1.2094703441542591,1.241846059774995,false,false,-0.12133,-0.12478,0.083576,-0.09231,0.029636,-0.00024611,0.0040042,0.0073159,-0.0049195,-0.05214,true,2.855037761993423,0
0,HGDP00191,CSA,1,59.0,1.409470344154259,-0.08021900692187305,false,false,-0.12133,-0.12478,0.083576,-0.09231,0.029636,-0.00024611,0.0040042,0.0073159,-0.0049195,-0.05214,true,2.4471029982549193,0
0,HGDP01399,EUR,0,56.0,0.8094703441542592,1.6726309559790822,false,false,-0.11489,-0.21051,0.024007,0.030795,0.0091235,0.0044074,0.04107,0.021984,-0.0068929,-0.066248,true,1.759485789861108,0
0,LP6005441-DNA_C05,EAS,1,53.0,0.2094703441542592,0.42984111834620914,false,false,-0.2025,0.31685,0.03486,0.081263,0.0087843,0.0023153,0.018434,-0.065194,-0.0011014,-0.010941,true,3.720733155420282,0
0,LP6005441-DNA_C05,EAS,1,54.0,0.4094703441542592,0.6928805727670468,false,false,-0.2025,0.31685,0.03486,0.081263,0.0087843,0.0023153,0.018434,-0.065194,-0.0011014,-0.010941,true,5.68301815099316,1
0,LP6005441-DNA_C05,EAS,1,56.0,0.8094703441542592,-2.8624649312728323,false,false,-0.2025,0.31685,0.03486,0.081263,0.0087843,0.0023153,0.018434,-0.065194,-0.0011014,-0.010941,true,2.722980534166178,0
0,LP6005441-DNA_C05,EAS,1,57.0,1.0094703441542592,-1.4885678470952455,false,false,-0.2025,0.31685,0.03486,0.081263,0.0087843,0.0023153,0.018434,-0.065194,-0.0011014,-0.010941,true,3.799710840911053,0
0,HGDP00961,EAS,1,52.0,0.00947034415425918,0.21375880392300345,false,false,-0.18799,0.2091,-0.026046,0.029,0.0095549,0.0047448,-0.073448,0.16673,0.00017561,-0.031695,false,3.6034641986305074,0
0,HGDP01327,EAS,1,48.0,-0.7905296558457409,-0.2721302475212174,true,false,-0.19921,0.31126,0.030027,0.075195,0.0087786,0.0016937,0.011158,-0.036084,-0.00043511,-0.0048903,true,4.05999011376373,0
0,HGDP00880,EUR,1,52.0,0.00947034415425918,2.0028660807988805,false,false,-0.13105,-0.20051,-0.015641,0.070196,-0.0089655,0.0014262,-0.08989,-0.0076216,-0.0086268,-0.026186,true,1.0282553176005726,0
0,HGDP00880,EUR,1,53.0,0.2094703441542592,-0.553636789276092,false,false,-0.13105,-0.20051,-0.015641,0.070196,-0.0089655,0.0014262,-0.08989,-0.0076216,-0.0086268,-0.026186,true,5.662500918854194,1
0,HGDP00880,EUR,1,54.0,0.4094703441542592,-0.1591084104568726,false,false,-0.13105,-0.20051,-0.015641,0.070196,-0.0089655,0.0014262,-0.08989,-0.0076216,-0.0086268,-0.026186,true,1.214272876875004,0
0,HGDP00880,EUR,1,55.0,0.6094703441542592,0.4898421931499963,false,false,-0.13105,-0.20051,-0.015641,0.070196,-0.0089655,0.0014262,-0.08989,-0.0076216,-0.0086268,-0.026186,true,2.842064845894366,0
0,HGDP00880,EUR,1,56.0,0.8094703441542592,-0.3937847847336927,false,false,-0.13105,-0.20051,-0.015641,0.070196,-0.0089655,0.0014262,-0.08989,-0.0076216,-0.0086268,-0.026186,true,2.7014308770850466,0
0,HGDP00953,EAS,1,55.0,0.6094703441542592,-0.9236671933064191,false,false,-0.16785,0.091656,-0.030934,0.03694,0.0011984,0.0041274,-0.082181,0.11565,-0.0018284,-0.027805,true,6.180953975953544,1
0,HGDP00953,EAS,1,56.0,0.8094703441542592,-1.8279770509494744,false,false,-0.16785,0.091656,-0.030934,0.03694,0.0011984,0.0041274,-0.082181,0.11565,-0.0018284,-0.027805,true,5.856353923166284,1
0,HGDP00953,EAS,1,57.0,1.0094703441542592,-0.9026343125799801,false,false,-0.16785,0.091656,-0.030934,0.03694,0.0011984,0.0041274,-0.082181,0.11565,-0.0018284,-0.027805,true,4.628486327626542,0
0,HGDP00953,EAS,1,58.0,1.2094703441542591,-0.23158488245520484,false,false,-0.16785,0.091656,-0.030934,0.03694,0.0011984,0.0041274,-0.082181,0.11565,-0.0018284,-0.027805,true,5.022171922682652,0
0,HGDP00804,EUR,1,49.0,-0.5905296558457408,0.3562785568728326,false,false,-0.12633,-0.24633,-0.024852,0.084182,-0.011633,0.005786,-0.05968,-0.022983,0.00019204,-0.0012416,true,3.881454022956997,0
