K,scenario,fpr,method,mean
2,1,0.0,pglmmFPR,0.6701725378595286
2,1,0.0,glmnetFPR,0.5249078239262668
2,1,0.0,glmnetPCFPR,0.6432413800393623
2,1,0.0,ggmixFPR,0.5622629098535906
2,1,0.001,pglmmFPR,0.6802622745752955
2,1,0.001,glmnetFPR,0.626870230526334
2,1,0.001,glmnetPCFPR,0.661496625062812
2,1,0.001,ggmixFPR,0.601166140973854
2,1,0.002,pglmmFPR,0.6838676219768941
2,1,0.002,glmnetFPR,0.6514650430487424
2,1,0.002,glmnetPCFPR,0.6690163194091828
2,1,0.002,ggmixFPR,0.6135062131214073
2,1,0.003,pglmmFPR,0.6856052175292955
2,1,0.003,glmnetFPR,0.6616507117205637
2,1,0.003,glmnetPCFPR,0.6741391035065156
2,1,0.003,ggmixFPR,0.6203439310197116
2,1,0.004,pglmmFPR,0.6869037859284252
2,1,0.004,glmnetFPR,0.6683951745028687
2,1,0.004,glmnetPCFPR,0.6771757409307323
2,1,0.004,ggmixFPR,0.6254413088365931
2,1,0.005,pglmmFPR,0.6885081134817113
2,1,0.005,glmnetFPR,0.6722552445375466
2,1,0.005,glmnetPCFPR,0.6795115292256817
2,1,0.005,ggmixFPR,0.6282912175948531
2,1,0.006,pglmmFPR,0.6897859139365962
2,1,0.006,glmnetFPR,0.6754312840680663
2,1,0.006,glmnetPCFPR,0.681165544907029
2,1,0.006,ggmixFPR,0.6320947984665657
2,1,0.007,pglmmFPR,0.6909103717706434
2,1,0.007,glmnetFPR,0.6779523290914977
2,1,0.007,glmnetPCFPR,0.6829413798696965
2,1,0.007,ggmixFPR,0.6352891976336222
2,1,0.008,pglmmFPR,0.692300446060149
2,1,0.008,glmnetFPR,0.6802081085400548
2,1,0.008,glmnetPCFPR,0.6840507072998946
2,1,0.008,ggmixFPR,0.6367985700973703
2,1,0.009,pglmmFPR,0.6931144900692102
2,1,0.009,glmnetFPR,0.6826473346882825
2,1,0.009,glmnetPCFPR,0.6846823156507456
2,1,0.009,ggmixFPR,0.6387989571172998
2,1,0.01,pglmmFPR,0.6943416765332066
2,1,0.01,glmnetFPR,0.6839901299395517
2,1,0.01,glmnetPCFPR,0.6852543390393212
2,1,0.01,ggmixFPR,0.6393512439919529
2,2,0.0,pglmmFPR,0.6624843083591068
2,2,0.0,glmnetFPR,0.5861588505627329
2,2,0.0,glmnetPCFPR,0.6547404024585751
2,2,0.0,ggmixFPR,0.6257764648599586
2,2,0.001,pglmmFPR,0.6825628811957136
2,2,0.001,glmnetFPR,0.6812456847402832
2,2,0.001,glmnetPCFPR,0.6950450206191525
2,2,0.001,ggmixFPR,0.6877455213693886
2,2,0.002,pglmmFPR,0.6937099978051746
2,2,0.002,glmnetFPR,0.7037602186709584
2,2,0.002,glmnetPCFPR,0.7082668215498319
2,2,0.002,ggmixFPR,0.7035384511887938
2,2,0.003,pglmmFPR,0.6984777554107368
2,2,0.003,glmnetFPR,0.7158269141018212
2,2,0.003,glmnetPCFPR,0.7159149641378599
2,2,0.003,ggmixFPR,0.7101797711690131
2,2,0.004,pglmmFPR,0.7034240470585468
2,2,0.004,glmnetFPR,0.7227970467679645
2,2,0.004,glmnetPCFPR,0.7203811164479659
2,2,0.004,ggmixFPR,0.7137367683620935
2,2,0.005,pglmmFPR,0.7067465601356153
2,2,0.005,glmnetFPR,0.7286219933507897
2,2,0.005,glmnetPCFPR,0.7245154584118854
2,2,0.005,ggmixFPR,0.7171878299178495
2,2,0.006,pglmmFPR,0.7096257621436652
2,2,0.006,glmnetFPR,0.7330584903735595
2,2,0.006,glmnetPCFPR,0.7271411189240432
2,2,0.006,ggmixFPR,0.7199244627381587
2,2,0.007,pglmmFPR,0.7121914356389115
2,2,0.007,glmnetFPR,0.7359260825390744
2,2,0.007,glmnetPCFPR,0.7296241401818095
2,2,0.007,ggmixFPR,0.7223087327817221
2,2,0.008,pglmmFPR,0.7141267718707808
2,2,0.008,glmnetFPR,0.7389539969523369
2,2,0.008,glmnetPCFPR,0.7316305751475202
2,2,0.008,ggmixFPR,0.7237307462796128
2,2,0.009,pglmmFPR,0.7175442721706073
2,2,0.009,glmnetFPR,0.7413697786734679
2,2,0.009,glmnetPCFPR,0.7336555836798502
2,2,0.009,ggmixFPR,0.7257863775689344
2,2,0.01,pglmmFPR,0.7188851351629566
2,2,0.01,glmnetFPR,0.7425661996287585
2,2,0.01,glmnetPCFPR,0.7351845616053749
2,2,0.01,ggmixFPR,0.7275254020446777
2,3,0.0,pglmmFPR,0.7796379177050347
