K,scenario,fpr,method,mean
2,1,0.0,pglmmFPR,0.9940446675427874
2,1,0.0,glmnetFPR,0.9978138533920444
2,1,0.0,glmnetPCFPR,0.9944082157242629
2,1,0.0,ggmixFPR,1.0015154674751385
2,1,0.001,pglmmFPR,0.9855895819538436
2,1,0.001,glmnetFPR,0.995283547072234
2,1,0.001,glmnetPCFPR,0.9858002025624464
2,1,0.001,ggmixFPR,1.0031856044913374
2,1,0.002,pglmmFPR,0.9807401081045031
2,1,0.002,glmnetFPR,0.9917814258313677
2,1,0.002,glmnetPCFPR,0.9814991903506717
2,1,0.002,ggmixFPR,1.0042480149349018
2,1,0.003,pglmmFPR,0.9779526324047303
2,1,0.003,glmnetFPR,0.9888985025509119
2,1,0.003,glmnetPCFPR,0.977626757001477
2,1,0.003,ggmixFPR,1.0048591995285272
2,1,0.004,pglmmFPR,0.9752508929090636
2,1,0.004,glmnetFPR,0.9859980341178317
2,1,0.004,glmnetPCFPR,0.9748799075893119
2,1,0.004,ggmixFPR,1.0053968515839935
2,1,0.005,pglmmFPR,0.9726002520708842
2,1,0.005,glmnetFPR,0.9828198646024435
2,1,0.005,glmnetPCFPR,0.9725328348866765
2,1,0.005,ggmixFPR,1.0058531625253253
2,1,0.006,pglmmFPR,0.9705984107384039
2,1,0.006,glmnetFPR,0.9802852239903289
2,1,0.006,glmnetPCFPR,0.9703816242300247
2,1,0.006,ggmixFPR,1.0062749005924685
2,1,0.007,pglmmFPR,0.9683193738954575
2,1,0.007,glmnetFPR,0.97768957706638
2,1,0.007,glmnetPCFPR,0.9679416199333067
2,1,0.007,ggmixFPR,1.0067259891546378
2,1,0.008,pglmmFPR,0.9665337885551469
2,1,0.008,glmnetFPR,0.9749326717679686
2,1,0.008,glmnetPCFPR,0.9662918547316695
2,1,0.008,ggmixFPR,1.0070824981876059
2,1,0.009,pglmmFPR,0.9651177439493399
2,1,0.009,glmnetFPR,0.9721087320349937
2,1,0.009,glmnetPCFPR,0.9648646794045668
2,1,0.009,ggmixFPR,1.007491323905821
2,1,0.01,pglmmFPR,0.9635527519900481
2,1,0.01,glmnetFPR,0.9696891829458102
2,1,0.01,glmnetPCFPR,0.9629201074764699
2,1,0.01,ggmixFPR,1.0078068379774363
2,2,0.0,pglmmFPR,0.9782659260915936
2,2,0.0,glmnetFPR,0.9895326907249455
2,2,0.0,glmnetPCFPR,0.978457067559348
2,2,0.0,ggmixFPR,1.0042689888433254
2,2,0.001,pglmmFPR,0.9580966283537663
