K,scenario,fpr,method,mean
2,1,0.0,pglmmFPR,97.89907686036452
2,1,0.0,glmnetFPR,98.45653224330947
2,1,0.0,glmnetPCFPR,97.9570121250536
2,1,0.0,ggmixFPR,98.99678577901223
2,1,0.001,pglmmFPR,96.84495937423664
2,1,0.001,glmnetFPR,98.17751983357088
2,1,0.001,glmnetPCFPR,96.86938539125148
2,1,0.001,ggmixFPR,99.22068214924721
2,1,0.002,pglmmFPR,96.28894331424176
2,1,0.002,glmnetFPR,97.80192958080929
2,1,0.002,glmnetPCFPR,96.38835719375332
2,1,0.002,ggmixFPR,99.35376846917872
2,1,0.003,pglmmFPR,95.9822518562715
2,1,0.003,glmnetFPR,97.47040361652567
2,1,0.003,glmnetPCFPR,95.96890115801125
2,1,0.003,ggmixFPR,99.43032042788512
2,1,0.004,pglmmFPR,95.70250952077771
2,1,0.004,glmnetFPR,97.17487739666842
2,1,0.004,glmnetPCFPR,95.66632966384525
2,1,0.004,ggmixFPR,99.49281575236695
2,1,0.005,pglmmFPR,95.4276538569273
2,1,0.005,glmnetFPR,96.85604646925846
2,1,0.005,glmnetPCFPR,95.42765164964186
2,1,0.005,ggmixFPR,99.54909167148071
2,1,0.006,pglmmFPR,95.20247753402664
2,1,0.006,glmnetFPR,96.59375958402157
2,1,0.006,glmnetPCFPR,95.21397453077796
2,1,0.006,ggmixFPR,99.59906685667494
2,1,0.007,pglmmFPR,94.99926028900418
2,1,0.007,glmnetFPR,96.31336538824073
2,1,0.007,glmnetPCFPR,94.9712647255137
2,1,0.007,ggmixFPR,99.65383192356855
2,1,0.008,pglmmFPR,94.83935374984478
2,1,0.008,glmnetFPR,96.01975703257514
2,1,0.008,glmnetPCFPR,94.83870371558066
2,1,0.008,ggmixFPR,99.69567649591559
2,1,0.009,pglmmFPR,94.71472702497768
2,1,0.009,glmnetFPR,95.713193169942
2,1,0.009,glmnetPCFPR,94.70266562173869
2,1,0.009,ggmixFPR,99.74225542995315
2,1,0.01,pglmmFPR,94.58601602335993
2,1,0.01,glmnetFPR,95.46680246910577
2,1,0.01,glmnetPCFPR,94.53649119568978
2,1,0.01,ggmixFPR,99.78185689800114
2,2,0.0,pglmmFPR,85.02337030400692
2,2,0.0,glmnetFPR,86.37198225230063
2,2,0.0,glmnetPCFPR,85.06879284071067
2,2,0.0,ggmixFPR,88.2947291086495
2,2,0.001,pglmmFPR,82.90945799864606
2,2,0.001,glmnetFPR,84.67338507628361
2,2,0.001,glmnetPCFPR,82.81768162796438
2,2,0.001,ggmixFPR,88.84769518224942
2,2,0.002,pglmmFPR,81.69372391089416
2,2,0.002,glmnetFPR,83.46906125531608
2,2,0.002,glmnetPCFPR,81.71668513895713
2,2,0.002,ggmixFPR,89.11555900868002
2,2,0.003,pglmmFPR,81.04009770223821
2,2,0.003,glmnetFPR,82.56308286176233
2,2,0.003,glmnetPCFPR,80.93941747453205
2,2,0.003,ggmixFPR,89.27045876026783
2,2,0.004,pglmmFPR,80.44655409872148
2,2,0.004,glmnetFPR,81.84231121183339
2,2,0.004,glmnetPCFPR,80.44486242157235
2,2,0.004,ggmixFPR,89.38575154209352
2,2,0.005,pglmmFPR,79.9864073471749
2,2,0.005,glmnetFPR,81.17424893419316
2,2,0.005,glmnetPCFPR,79.98099195647158
2,2,0.005,ggmixFPR,89.48228263767709
2,2,0.006,pglmmFPR,79.5971202384138
2,2,0.006,glmnetFPR,80.57468069778075
2,2,0.006,glmnetPCFPR,79.56220185389121
2,2,0.006,ggmixFPR,89.56235218283916
2,2,0.007,pglmmFPR,79.2163011107648
2,2,0.007,glmnetFPR,80.17750528023588
2,2,0.007,glmnetPCFPR,79.17934520336838
2,2,0.007,ggmixFPR,89.6349218992044
2,2,0.008,pglmmFPR,78.88831216167512
2,2,0.008,glmnetFPR,79.70187292184781
2,2,0.008,glmnetPCFPR,78.88147554107117
2,2,0.008,ggmixFPR,89.68728430374242
2,2,0.009,pglmmFPR,78.50515030077902
2,2,0.009,glmnetFPR,79.31697290514882
2,2,0.009,glmnetPCFPR,78.60022179501864
2,2,0.009,ggmixFPR,89.76582288672971
2,2,0.01,pglmmFPR,78.36101386070722
2,2,0.01,glmnetFPR,78.96219855120277
2,2,0.01,glmnetPCFPR,78.35325284350694
2,2,0.01,ggmixFPR,89.81512402806212
2,3,0.0,pglmmFPR,85.98122205363399
2,3,0.0,glmnetFPR,87.76129733334747
2,3,0.0,glmnetPCFPR,85.62671258041472
2,3,0.0,ggmixFPR,90.40015089585903
2,3,0.001,pglmmFPR,83.25557106594292
2,3,0.001,glmnetFPR,86.48363506526526
