K,scenario,fpr,method,mean
2,1,0.0,pglmmFPR,0.04760000000000002
2,1,0.0,glmnetFPR,0.0176
2,1,0.0,glmnetPCFPR,0.03720000000000002
2,1,0.0,ggmixFPR,0.048800000000000024
2,1,0.001,pglmmFPR,0.09360000000000002
2,1,0.001,glmnetFPR,0.03600000000000001
2,1,0.001,glmnetPCFPR,0.0916
2,1,0.001,ggmixFPR,0.0924
2,1,0.002,pglmmFPR,0.11440000000000003
2,1,0.002,glmnetFPR,0.06040000000000003
2,1,0.002,glmnetPCFPR,0.11
2,1,0.002,ggmixFPR,0.11240000000000001
2,1,0.003,pglmmFPR,0.12800000000000003
2,1,0.003,glmnetFPR,0.07600000000000003
2,1,0.003,glmnetPCFPR,0.12480000000000001
2,1,0.003,ggmixFPR,0.1276
2,1,0.004,pglmmFPR,0.13680000000000003
2,1,0.004,glmnetFPR,0.09040000000000005
2,1,0.004,glmnetPCFPR,0.1396
2,1,0.004,ggmixFPR,0.1388
2,1,0.005,pglmmFPR,0.14640000000000003
2,1,0.005,glmnetFPR,0.1084
2,1,0.005,glmnetPCFPR,0.14919999999999997
2,1,0.005,ggmixFPR,0.14839999999999998
2,1,0.006,pglmmFPR,0.1516
2,1,0.006,glmnetFPR,0.12040000000000002
2,1,0.006,glmnetPCFPR,0.15679999999999997
2,1,0.006,ggmixFPR,0.1556
2,1,0.007,pglmmFPR,0.16080000000000003
2,1,0.007,glmnetFPR,0.132
2,1,0.007,glmnetPCFPR,0.16680000000000003
2,1,0.007,ggmixFPR,0.16479999999999997
2,1,0.008,pglmmFPR,0.16839999999999997
2,1,0.008,glmnetFPR,0.14679999999999999
2,1,0.008,glmnetPCFPR,0.172
2,1,0.008,ggmixFPR,0.17320000000000005
2,1,0.009,pglmmFPR,0.17600000000000002
2,1,0.009,glmnetFPR,0.1592
2,1,0.009,glmnetPCFPR,0.17640000000000003
2,1,0.009,ggmixFPR,0.1804
2,1,0.01,pglmmFPR,0.18319999999999997
2,1,0.01,glmnetFPR,0.16839999999999997
2,1,0.01,glmnetPCFPR,0.18200000000000005
2,1,0.01,ggmixFPR,0.18359999999999996
2,2,0.0,pglmmFPR,0.08720000000000004
2,2,0.0,glmnetFPR,0.04200000000000001
2,2,0.0,glmnetPCFPR,0.09400000000000003
2,2,0.0,ggmixFPR,0.08760000000000004
